short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,0,10000000000.0,10000000000.0,10.0,10.0,3.899405103168837e-05,4.514251589958666e-05,8.413656693127503e-05,-4.075015212704346
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,1,12648552168.552958,10000000000.0,10.10204081632653,10.0,0.00015967399731835617,5.709874673756533e-05,0.0002167727440559215,-3.66399532476396
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,2,15998587196.060574,10000000000.0,10.204081632653061,10.0,0.000653834211298702,7.222164768690882e-05,0.0007260558589856108,-3.1390299656415026
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,3,20235896477.251556,10000000000.0,10.306122448979592,10.0,0.002677306239105831,9.13499278466718e-05,0.002768656166952503,-2.557730974939507
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,4,25595479226.99533,10000000000.0,10.408163265306122,10.0,0.010962879015772045,0.00011554443279621769,0.011078423448568261,-1.95552203891294
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,5,32374575428.1764,10000000000.0,10.510204081632653,10.0,0.044889662275445906,0.0001461469786008821,0.04503580925404678,-1.3464420289586543
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,6,40949150623.80419,10000000000.0,10.612244897959183,10.0,0.18380694377141132,0.000184854768310965,0.1839917985397223,-0.7352015352965827
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,7,51794746792.31202,10000000000.0,10.714285714285714,10.0,0.7526095449997517,0.00023381451805870102,0.7528433595178105,-0.12329537595561499
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,8,65512855685.954956,10000000000.0,10.816326530612244,10.0,3.081539249770869,0.00029574151294305476,3.0818349912838126,0.4888093818537314
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,9,82864277285.4686,10000000000.0,10.918367346938776,10.0,12.616917258389611,0.00037407019548670246,12.617291328585098,1.1009661308740477
