short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_nacl_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,0,10000000000.0,104.50390283626732,3.897778327679583e-05,9.376528522960759e-31,3.897778327679583e-05,0.0016945620537639494
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,1,12648552168.552958,92.92062063756633,0.0001596073838647765,1.9886377425384849e-29,0.0001596073838647765,0.006938953718008215
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,2,15998587196.060574,82.62123715320291,0.000653561443257112,4.217593991172768e-28,0.000653561443257112,0.028413732260048348
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,3,20235896477.251556,73.46344419449613,0.002676189320620108,8.944749073303404e-27,0.002676189320620108,0.11634822653761438
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,4,25595479226.99533,65.32070710718752,0.010958305554576584,1.8969869517454482e-25,0.010958305554576584,0.4764174922467432
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,5,32374575428.1764,58.0805164223793,0.04487093550654467,4.0230145690929445e-24,0.04487093550654467,1.9507931822164446
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,6,40949150623.80419,51.64283329564703,0.1837302652833862,8.546877011939643e-23,0.1837302652833862,7.999626638040985
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,7,51794746792.31202,45.91870725471651,0.7522955843888282,1.80927322652858e-21,0.7522955843888282,32.72400513402844
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,8,65512855685.954956,40.82904715690884,3.0802537697648535,3.843805042205667e-20,3.0802537697648535,134.12297195160332
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,9,82864277285.4686,36.3035283744809,12.611654166105158,8.150428923690777e-19,12.611654166105158,549.1537632945682
