short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_nacl_reference,Wtotal_peak_cm3_fs,Wtotal_direct_at_reference_cm3_fs
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,0,49999999999.99999,46.73556613118536,0.608836093114372,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,1,61199253779.35998,42.24345652968825,2.0470046356951137,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,2,74906973263.01015,38.18311764035541,6.882222050943154,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,3,91685017331.33382,34.51304870643312,23.138117955754506,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,4,112221092868.50633,31.195737923550485,77.7883430861267,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,5,137356942837.13632,28.197279031262497,261.508173791419,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,6,168122848060.939,25.487024756886495,879.0968828744323,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,7,205779856891.80368,23.03727356947961,2955.0484984688037,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,8,251871473692.03748,20.822986542265838,9932.614700880153,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,9,308286924765.2079,18.821531429562253,33383.13956874416,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,10,377338594911.2883,17.012451342412106,112188.2639668194,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,11,461856808614.461,15.377255658556729,376976.76990846725,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,12,565305840802.4338,13.899231029635295,1266533.5753580576,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,13,691925912284.4525,12.563270553915522,4254407.791904263,94839775515.64159
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,total_comparison,14,846906990048.2278,11.355719368528426,14287840.774204874,94839775515.64159
