short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,pulse_energy_uj,beam_diameter_a_um,beam_diameter_b_um,dataset,point_index,I_wcm2,gamma_baf2_reference,Wtotal_peak_cm3_fs
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,19,2326571100408.512,5.293969233715204,2249896756.9839897
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,20,2847688304192.5073,4.7851257127434135,8746185675.389965
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,21,3485527984255.8506,4.325191000531975,33046826180.31784
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,22,4266234233270.6973,3.9094641006531687,118063453709.84456
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,23,5221807030482.533,3.533695865088052,362592250876.8013
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,24,6391413872906.935,3.194045563650052,517983526961.96814
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,25,7822995192339.04,2.8870416278505595,517761895034.63806
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,26,9575229361813.4,2.609546167969192,1421188651317.4326
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,27,11719937834183.947,2.3587229006575243,6787641362277.952
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,28,14345028995850.922,2.132008159263933,32127435956264.75
