short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,pulse_energy_uj,beam_diameter_a_um,beam_diameter_b_um,dataset,point_index,I_wcm2,gamma_baf2_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,11,132571136559.0111,22.177627660122994,5.1890682242331,1.17309752895428e-19,5.1890682242331,209.30629759870823
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,12,167683293681.101,19.71944463812231,26.82125794397923,3.96509008408532e-18,26.82125794397923,1082.0108094822992
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,13,212095088792.01926,17.533728259635428,138.55500415874442,1.3387686602715075e-16,138.55500415874442,5590.503758338595
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,14,268269579527.97272,15.590278140409719,715.2327404530874,4.499008449639377e-15,715.2327404530874,28819.986935921643
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,15,339322177189.53296,13.862241326899117,3688.5934938224486,1.5142359452223167e-13,3688.5934938224486,148673.5872940103
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,16,429193426012.8778,12.3257412648149,18999.38080383514,5.084711467680377e-12,18999.38080383514,766087.3640232544
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,17,542867543932.3859,10.959547893049493,97703.81061232105,1.7022132027029938e-10,97703.81061232109,3941571.3074830733
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,18,686648845004.2998,9.744784304609475,501356.04381630645,5.675545068963167e-09,501356.04381630843,20239307.68032323
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,19,868511373751.352,8.664665921446176,2565178.6668291083,1.8821098181212767e-07,2565178.6668291744,103648022.06149574
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,20,1098541141987.5573,7.7042685793217665,13072359.041091174,6.1952787625626345e-06,13072359.041093364,528859743.45879996
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,21,1389495494373.136,6.850322318303285,66244135.789578974,0.00020182162840541706,66244135.789650336,2684742584.097833
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,22,1757510624854.7966,6.091028029655625,332952715.6258978,0.00647678468581426,332952715.6281898,13528996508.638664
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,23,2222996482526.191,5.41589442571512,1652653234.6349037,0.20319399704414468,1652653234.7068896,67422705635.037224
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,24,2811768697974.237,4.8155930801307365,8036653646.759386,6.147081309993984,8036653648.9408,330065685014.83545
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,25,3556480306223.121,4.281829535541789,37641391080.78873,174.28476067485954,37641391142.8224,1565503992079.8423
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,26,4498432668969.453,3.8072286977661727,162042739503.6386,4303.0998538934,162042741045.37454,6944274547410.882
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,27,5689866029018.305,3.3852329329734165,499782598536.56647,66996.5324584401,499782623084.579,24713618549201.95
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,28,7196856730011.528,3.0100114598347214,517768898519.43243,47891.311074353696,517768933991.58405,20744638142704.668
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,29,9102981779915.227,2.6763797847075645,959799273432.5375,337619.0919385704,959799419272.2113,47627217901886.234
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,30,11513953993264.48,2.379728066678068,5919651694664.108,12690721.449455649,5919656260327.287,235802169870094.16
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,31,14563484775012.443,2.1159574226697857,36074217688507.414,578329003.6990889,36074419761635.8,1393807806704866.5
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,32,18420699693267.164,1.881423292536665,216946422104487.1,26485813378.29363,216955644487935.88,8373358734378973.0
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,33,23299518105153.72,1.6728850816068217,1285007729399564.8,1184100891265.0227,1285419956692890.8,4.983738683542986e+16
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,34,29470517025518.098,1.4874613848803113,7447309560211112.0,51223267653555.125,7465073108049944.0,2.933716539933883e+17
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,35,37275937203149.38,1.322590174206639,4.0878188699018696e+16,2121132379515012.0,4.158749215791455e+16,1.752439240501755e+18
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,36,47148663634573.9,1.1759933983420354,1.5559086508829626e+17,7.542763141510728e+16,1.827653956679839e+17,1.2385200221482217e+19
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,37,59636233165946.37,1.0456455067599633,1.5847566596513747e+17,2.3481569128228726e+17,3.190128623454092e+17,2.6306316809832686e+19
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,38,75431200633546.08,0.9297454623034326,9.477375964626644e+17,7.94890726032184e+20,7.953160181902783e+20,3.522673847048021e+22
