short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_nacl_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,0,10000000000.0,73.8954183559847,0.0024943817477636036,3.840058039676657e-27,0.0024943817477636036,0.10844406652148426
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,1,12648552168.552958,65.7048009648858,0.010213855424249997,8.143936368082951e-26,0.010213855424249997,0.44405209508287574
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,2,15998587196.060574,58.42203706105171,0.0418226641813971,1.7271185198805927e-24,0.0418226641813971,1.8182671980335445
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,3,20235896477.251556,51.94649955924773,0.17124883059986182,3.6692612372460264e-23,0.17124883059986182,7.456182155798109
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,4,25595479226.99533,46.188714947392604,0.7011902321688127,7.767291404352393e-22,0.7011902321688127,30.5007539605908
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,5,32374575428.1764,41.069127017081044,2.871007914054712,1.6501915956471862e-20,2.871007914054712,125.01175913399707
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,6,40949150623.80419,36.516997623038435,11.754945963063776,3.499087344995914e-19,11.754945963063776,511.84952337008775
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,7,51794746792.31202,32.46942928312996,48.1272828760414,7.395131555985287e-18,48.1272828760414,2092.487713395607
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,8,65512855685.954956,28.870496114035575,197.0345508555218,1.5678276424589155e-16,197.0345508555218,8566.838166430696
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,9,82864277285.4686,25.670471094593683,806.6192033367254,3.323468170771594e-15,806.6192033367254,35071.0609703433
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,10,104811313415.46873,22.82513897979077,3301.8949353565786,7.044316539531786e-14,3301.8949353565786,143566.90820755114
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,11,132571136559.0111,20.295185371821475,13515.06417119378,1.4928361138955215e-12,13515.06417119378,587656.0004904205
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,12,167683293681.101,18.04565350691995,55312.407714045396,3.162939766120016e-11,55312.4077140454,2405168.2515308997
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,13,212095088792.01926,16.04546125230025,226340.98568163204,6.699615668102722e-10,226340.98568163227,9842574.052619519
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,14,268269579527.97272,14.266971639477726,926025.7159379328,1.4185906683669351e-08,926025.7159379378,40271438.71120546
