short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,0,10000000000.0,10000000000.0,10.0,10.0,0.002495422788453619,4.514251589958666e-05,0.0025405653043532057,-2.595069637220629
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,1,12648552168.552958,10000000000.0,10.10204081632653,10.0,0.010218118190013788,5.709874673756533e-05,0.010275216936751352,-1.9882090002607038
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,2,15998587196.060574,10000000000.0,10.204081632653061,10.0,0.04184011877077512,7.222164768690882e-05,0.04191234041846203,-1.377658087139343
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,3,20235896477.251556,10000000000.0,10.306122448979592,10.0,0.17132030009648558,9.13499278466718e-05,0.17141165002433226,-0.765959664505345
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,4,25595479226.99533,10000000000.0,10.408163265306122,10.0,0.70148286486881,0.00011554443279621769,0.7015984093016062,-0.15391140429469255
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,5,32374575428.1764,10000000000.0,10.510204081632653,10.0,2.872206070848559,0.0001461469786008821,2.8723522178271597,0.45823769353675037
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,6,40949150623.80419,10000000000.0,10.612244897959183,10.0,11.759851540331985,0.000184854768310965,11.760036395100295,1.0704086658019196
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,7,51794746792.31202,10000000000.0,10.714285714285714,10.0,48.147366794583235,0.00023381451805870102,48.14760060910129,1.682574649338198
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,8,65512855685.954956,10000000000.0,10.816326530612244,10.0,197.11677206072085,0.00029574151294305476,197.11706780223378,2.294724230222658
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,9,82864277285.4686,10000000000.0,10.918367346938776,10.0,806.9557848007827,0.00037407019548670246,806.9561588709781,2.906849940573847
