short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wtotal_peak_cm3_fs,Wtotal_direct_at_lidt_cm3_fs
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,0,49999999999.99999,21.766847790278796,3267399931610641.5,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,1,61199253779.35998,19.67467101684302,4902129007239803.0,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,2,74906973263.01015,17.78358921560892,7363222324409755.0,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,3,91685017331.33382,16.074273624132395,1.108328368901591e+16,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,4,112221092868.50633,14.529253313875046,1.674755771713235e+16,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,5,137356942837.13632,13.132736619701749,2.5506421994848296e+16,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,6,168122848060.939,11.870449733142989,3.945985253707965e+16,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,7,205779856891.80368,10.729490809682785,6.327573604409392e+16,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,8,251871473692.03748,9.69819809890101,1.1338294669979738e+17,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,9,308286924765.2079,8.766030749627705,3.527842370668638e+17,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,10,377338594911.2883,7.92346107181769,1.415374574827371e+18,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,11,461856808614.461,7.161877153953249,2.9335100132998994e+18,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,12,565305840802.4338,6.4734948406265955,4.5091704101774377e+18,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,13,691925912284.4525,5.851278170624245,6.151827334469907e+18,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,14,846906990048.2278,5.288867462310333,7.979806435092511e+18,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,15,1036601516229.5078,4.780514311268974,1.0162340818964548e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,16,1268784785195.9749,4.321022835816066,1.2891609796536472e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,17,1552973641211.9841,3.9056965698503796,1.6381927836153434e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,18,1900816559623.7793,3.5302904602354572,2.089986156201601e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,19,2326571100408.512,3.190967478077006,2.678598808586354e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,20,2847688304192.5073,2.884259400419422,3.4459862114171404e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,21,3485527984255.8506,2.607031361510807,4.4364367966001046e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,22,4266234233270.6973,2.3564498113146644,5.6689434089627705e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,23,5221807030482.533,2.1299535537719683,7.007950026178358e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,24,6391413872906.935,1.9252275687954539,7.504522415247403e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,25,7822995192339.04,1.7401793504305105,7.868122750118253e+19,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,26,9575229361813.4,1.572917519334818,1.0266219847456635e+20,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,27,11719937834183.947,1.421732490974753,1.3668276903333827e+20,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,28,14345028995850.922,1.285079001947977,1.8639045812286505e+20,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,29,17558101399787.162,1.1615603158336592,2.6095004386068487e+20,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,30,21490854068986.207,1.0499139471381773,3.751060867874115e+20,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,31,26304484642061.562,0.9489987574206387,5.515295639638254e+20,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,32,32196296622896.055,0.8577832917076109,8.139736481563253e+20,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,33,39407786555603.33,0.7753352359834633,1.0876370941114628e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,34,48234542605984.18,0.7008118880012456,1.0899785985095109e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,35,59038360277499.79,0.6334515440161727,1.505157130834467e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,36,72262071866799.61,0.5725657134054802,2.3601367773960245e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,37,88447697495972.39,0.517532081600161,3.4835939071296647e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,38,108258661705121.53,0.46778814940271646,3.5511193865270917e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,39,132506986230112.27,0.4228254836782859,5.568014857659584e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,40,162186573556696.0,0.38218452065544817,7.785387971982128e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,41,198513945494021.47,0.3454498687211834,9.365042600919743e+21,1.0342296849722012e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,42,242978106580613.12,0.31224606269982286,1.4058326787497952e+22,1.0342296849722012e+19
