short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,15,339322177189.53296,8.355538027248334,1.5048018551769734e+17,6.97238490290117e+17,7.433778203058692e+17,5.658041620863486e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,16,429193426012.8778,7.4294046268218175,2.4080870749783914e+17,2.220703015954618e+18,2.370282178809258e+18,1.5193580772817735e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,17,542867543932.3859,6.605924469380784,3.853182515085101e+17,3.854291725871527e+18,4.1904628132742753e+18,2.7634573420766786e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,18,686648845004.2998,5.873719401097089,6.163981972742538e+17,5.487876321627287e+18,6.086947412560549e+18,4.333309537106052e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,19,868511373751.352,5.2226724302917,9.855731153463062e+17,7.24667792166007e+18,8.228973123762559e+18,6.340862391824541e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,20,1098541141987.5573,4.643787939382049,1.574372887785704e+18,9.3076026068704e+18,1.0881190481030898e+19,8.942937394688997e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,21,1389495494373.136,4.129067391030253,2.510771712524106e+18,1.1841739753339005e+19,1.435251146586311e+19,1.2355923070869292e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,22,1757510624854.7966,3.671398811104644,3.991267249203311e+18,1.5014504657451563e+19,1.900577190665487e+19,1.6881182035113272e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,23,2222996482526.191,3.2644585214235105,6.30750019133192e+18,1.901227002929557e+19,2.5319770220627493e+19,2.293831056024858e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,24,2811768697974.237,2.9026237645068473,9.855775623171932e+18,2.4060786692518478e+19,3.3916562315690406e+19,3.110102752140098e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,25,3556480306223.121,2.580895013059014,1.5045206309254701e+19,3.044173176913147e+19,4.548693807838618e+19,4.209984045746528e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,26,4498432668969.453,2.294826890719872,2.172776628455446e+19,3.850976737436646e+19,6.023753365892092e+19,5.663554686943241e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,27,5689866029018.305,2.0404667496060718,2.5834610908525707e+19,4.871265460480467e+19,7.430936262188515e+19,7.407960732789635e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,28,7196856730011.528,1.8143000559584275,2.5820463548544705e+19,6.161581173815892e+19,7.504604705913933e+19,8.452172989149528e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,29,9102981779915.227,1.6132018292805987,2.583512735614155e+19,7.793705017983499e+19,9.588321913791454e+19,1.0446921343471626e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,30,11513953993264.48,1.4343934639959586,3.4592260753225638e+19,9.858096809054793e+19,1.3317322884377358e+20,1.3552131333475594e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,31,14563484775012.443,1.2754043370207764,6.626687589454878e+19,1.2469219709740463e+20,1.9095907299195342e+20,1.8260349874984857e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,32,18420699693267.164,1.134037670779563,1.2603219222544151e+20,1.577187354861126e+20,2.837509277115541e+20,2.555685549045007e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,33,23299518105153.72,1.0083401799865346,2.372816557159486e+20,1.9949216478033143e+20,4.3677382049628e+20,3.7188897369556404e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,34,29470517025518.098,0.8965750827980348,4.356249422327894e+20,2.523292077651072e+20,6.879541499978967e+20,5.6033007700876255e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,35,37275937203149.38,0.7971981034267992,7.153627465594384e+20,3.191601950984954e+20,1.0345229416579337e+21,8.48419502795792e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,36,47148663634573.9,0.7088361346424413,7.500393265283544e+20,4.0369151807706654e+20,1.0907721510208897e+21,1.0122123082477452e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,37,59636233165946.37,0.6302682653345942,1.0280912619956253e+21,5.106114369200497e+20,1.538702698915675e+21,1.3847710793102816e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,38,75431200633546.08,0.560408910993593,1.949011735773659e+21,6.4584963282946e+20,2.594861368603119e+21,2.100539305729466e+23
