short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,14,268269579527.97272,10000000000.0,11.428571428571429,10.0,9.404460246622229e+16,0.18483279499455033,9.404460246622229e+16,16.973333874991102
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,15,339322177189.53296,10000000000.0,11.53061224489796,10.0,1.505011301349447e+17,0.2337867249948024,1.505011301349447e+17,17.177539761122738
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,16,429193426012.8778,10000000000.0,11.63265306122449,10.0,2.40842220267571e+17,0.2957063587411902,2.40842220267571e+17,17.381732622211867
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,17,542867543932.3859,10000000000.0,11.73469387755102,10.0,3.8537185704669946e+17,0.37402573051107807,3.8537185704669946e+17,17.585879995800497
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,18,686648845004.2998,10000000000.0,11.83673469387755,10.0,6.164838878785842e+17,0.47308839647504997,6.164838878785842e+17,17.789921730571876
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,19,868511373751.352,10000000000.0,11.938775510204081,10.0,9.857099312059429e+17,0.5983883263151737,9.857099312059429e+17,17.993749132172006
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,20,1098541141987.5573,10000000000.0,12.040816326530612,10.0,1.57459085043696e+18,0.7568745962450562,1.57459085043696e+18,18.19716772353412
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,21,1389495494373.136,10000000000.0,12.142857142857142,10.0,2.511117626041189e+18,0.9573367815658053,2.511117626041189e+18,18.399867056458103
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,22,1757510624854.7966,10000000000.0,12.244897959183675,10.0,3.9918121262183393e+18,1.2108924224509725,3.9918121262183393e+18,18.601170093119666
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,23,2222996482526.191,10000000000.0,12.346938775510203,10.0,6.308346414875047e+18,1.5316035975876527,6.308346414875047e+18,18.7999155340446
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,24,2811768697974.237,10000000000.0,12.448979591836736,10.0,9.857052224363973e+18,1.9372568005630904,9.857052224363973e+18,18.99374705752768
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,25,3556480306223.121,10000000000.0,12.551020408163264,10.0,1.5047004542738571e+19,2.450349370580614,1.5047004542738571e+19,19.17745005208673
