short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,threshold_fluence,pulse_energy_uj,beam_diameter_a_um,beam_diameter_b_um,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,30,11513953993264.48,360547115425049.9,13.061224489795919,14.556962025316455,8727616348.044413,5595980558.329835,14323596906.374249,10.15605209062801
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,31,14563484775012.443,360547115425049.9,13.16326530612245,14.556962025316455,194828289283.12,7078105202.624303,201906394485.7443,11.305150073504793
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,32,18420699693267.164,360547115425049.9,13.26530612244898,14.556962025316455,2468273436199.3535,8952778290.989964,2477226214490.3433,12.393965667150654
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,33,23299518105153.72,360547115425049.9,13.36734693877551,14.556962025316455,34573820107177.56,11323968326.70749,34585144075504.27,13.538889589211351
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,34,29470517025518.098,360547115425049.9,13.46938775510204,14.556962025316455,306843148086913.4,14323180413.540106,306857471267326.94,14.486936701811484
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,35,37275937203149.38,360547115425049.9,13.571428571428571,14.556962025316455,2398804396744131.0,18116749468.025795,2398822513493598.5,15.379998116137125
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,36,47148663634573.9,360547115425049.9,13.673469387755102,14.556962025316455,1.3219316180176282e+16,22915065077.092834,1.3219339095241358e+16,16.1212097430116
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,37,59636233165946.37,360547115425049.9,13.775510204081632,14.556962025316455,7.557359780231766e+16,28984239607.33947,7.557362678655728e+16,16.878370264557248
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,38,75431200633546.08,360547115425049.9,13.877551020408163,14.556962025316455,3.5176799250751034e+17,36660866673.927216,3.5176802916837696e+17,17.54625636557425
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,39,95409547634999.64,360547115425049.9,13.979591836734695,14.556962025316455,1.3884226747705393e+18,46370688466.9535,1.3884227211412278e+18,18.14252171216267
