short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,0,10000000000.0,48.74594974350731,519573125580243.4,57920154279.2235,519600031070109.7,3.911612922694574e+16
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,1,12648552168.552958,43.34291620506239,831281226290169.6,187549138167.4886,831368341357944.4,6.258929946414946e+16
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,2,15998587196.060574,38.538758502890396,1330007842295995.2,607375230603.4071,1330289920821770.0,1.001603782210201e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,3,20235896477.251556,34.26709684039749,2127974953840868.5,1967462476991.911,2128888413707937.8,1.6032202371055926e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,4,25595479226.99533,30.468909001858812,3404758032715459.0,6376223216931.758,3407716636673837.0,2.5673894818398416e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,5,32374575428.1764,27.091714833254134,5447746992304258.0,20683763741731.79,5457332884405998.0,4.1152348272269306e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,6,40949150623.80419,24.08885111579104,8716808555493856.0,67220221712364.266,8747887053650878.0,6.608633144141372e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,7,51794746792.31202,21.418826812929634,1.3947977113412664e+16,219286109989576.44,1.4048864184477818e+16,1.0653286643898702e+18
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,8,65512855685.954956,19.044749782256616,2.2319274096662944e+16,720796543987611.0,2.264758481220683e+16,1.730837576139914e+18
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,9,82864277285.4686,16.93381703099698,3.5716230444415e+16,2405145360003610.5,3.680766212175735e+16,2.8585525691696015e+18
